strategy_id,strategy_label,seed,q_min,lambda,resilience
degree_driven,Maximum-Degree Reconfiguration,29,0.5,0.05,0.3514486622723327
degree_driven,Maximum-Degree Reconfiguration,35,0.5,0.05,0.4781477570395811
degree_driven,Maximum-Degree Reconfiguration,11,0.5,0.07,0.22193418063939221
degree_driven,Maximum-Degree Reconfiguration,17,0.5,0.07,0.37168379547136543
degree_driven,Maximum-Degree Reconfiguration,23,0.5,0.07,0.4346283045671931
degree_driven,Maximum-Degree Reconfiguration,29,0.5,0.07,0.3384136665652154
degree_driven,Maximum-Degree Reconfiguration,35,0.5,0.07,0.46322672224367417
degree_driven,Maximum-Degree Reconfiguration,11,0.5,0.1,0.22131229064824418
degree_driven,Maximum-Degree Reconfiguration,17,0.5,0.1,0.3552630235920618
degree_driven,Maximum-Degree Reconfiguration,23,0.5,0.1,0.40866642128440184
degree_driven,Maximum-Degree Reconfiguration,29,0.5,0.1,0.3225811097669178
degree_driven,Maximum-Degree Reconfiguration,35,0.5,0.1,0.4459281429651667
degree_driven,Maximum-Degree Reconfiguration,11,0.6,0.01,0.08564092003248705
degree_driven,Maximum-Degree Reconfiguration,17,0.6,0.01,0.25136932305846377
degree_driven,Maximum-Degree Reconfiguration,23,0.6,0.01,0.34407272143781503
degree_driven,Maximum-Degree Reconfiguration,29,0.6,0.01,0.22606747593115728
degree_driven,Maximum-Degree Reconfiguration,35,0.6,0.01,0.3947319316938995
degree_driven,Maximum-Degree Reconfiguration,11,0.6,0.03,0.062193338208255455
degree_driven,Maximum-Degree Reconfiguration,17,0.6,0.03,0.2414756215759944
degree_driven,Maximum-Degree Reconfiguration,23,0.6,0.03,0.3337637592733652
degree_driven,Maximum-Degree Reconfiguration,29,0.6,0.03,0.20836402315118116
degree_driven,Maximum-Degree Reconfiguration,35,0.6,0.03,0.3700637862071485
degree_driven,Maximum-Degree Reconfiguration,11,0.6,0.05,0.04892307400269421
degree_driven,Maximum-Degree Reconfiguration,17,0.6,0.05,0.22864417954494523
degree_driven,Maximum-Degree Reconfiguration,23,0.6,0.05,0.31538263428180113
degree_driven,Maximum-Degree Reconfiguration,29,0.6,0.05,0.19034867427911142
degree_driven,Maximum-Degree Reconfiguration,35,0.6,0.05,0.34768469629947685
degree_driven,Maximum-Degree Reconfiguration,11,0.6,0.07,0.04258153087533414
