strategy_id,strategy_label,time,num_runs,Q_phy_mean,Q_phy_std,Q_comm_mean,Q_comm_std,Q_mis_mean,Q_mis_std,Q_overall_mean,Q_overall_std,alive_nodes_mean,alive_nodes_std
distance_driven,Nearest-Neighbor Reconfiguration,21,5,0.5967217581978137,0.01306866925379775,0.5956704351164159,0.03240720035115098,0.6683006535947712,0.04561136293429515,0.6320381105096635,0.0360715166159203,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,22,5,0.5997407005655457,0.015516143074931385,0.6039917306723502,0.03373437272772539,0.6868191721132898,0.0365240651914368,0.6451928998874799,0.03136160027080711,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,23,5,0.6013167691856168,0.014206076325694369,0.6120258884244697,0.03562492947764017,0.6534858387799564,0.08439165921855651,0.6322204076402704,0.05513693399568703,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,24,5,0.6014384815382103,0.01293693682489276,0.6170563760817698,0.03803614550600533,0.6683006535947713,0.09084732211186433,0.6418976201110926,0.059926694332357575,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,25,5,0.6051136374293244,0.012841638936863546,0.6229932401281262,0.03963770093973359,0.6683006535947713,0.09084732211186433,0.6447529667265086,0.06012598012876264,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,26,5,0.6074220528733303,0.012887824430130953,0.625527118513886,0.040375069936413405,0.6794117647058824,0.09972622611931468,0.6515641883278565,0.06557422295769427,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,27,5,0.6098900838646475,0.01520236959566333,0.6307214187005491,0.04163608109592282,0.6794117647058824,0.09972622611931468,0.6540250249614207,0.06546345446087011,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,28,5,0.6109478678913691,0.014486140227906256,0.6340330037786438,0.04216545361581143,0.6794117647058824,0.09972622611931468,0.6555681274478994,0.06514248150128056,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,29,5,0.6113483832096153,0.01480026928701514,0.6357772346892705,0.04322971540491197,0.6794117647058824,0.09972622611931468,0.6563730571235938,0.06536225935322271,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,30,5,0.6122228491802376,0.016009024674647373,0.6369106333944271,0.04396704119440556,0.6794117647058824,0.09972622611931468,0.6569268098394453,0.0655780390215177,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,31,5,0.6127122982449787,0.01558165810052227,0.6381400707960385,0.04427014173743254,0.6794117647058824,0.09972622611931468,0.6575045291234074,0.06538845624780834,70.0,0.0
