stage,stage_label,scenario_id,scenario_label,attack_ratio,num_runs,Q_phy_mean,Q_phy_std,Q_comm_mean,Q_comm_std,Q_mis_mean,Q_mis_std,Q_overall_mean,Q_overall_std,alive_nodes_mean,alive_nodes_std,phy_edges_mean,phy_edges_std,comm_edges_mean,comm_edges_std,mis_edges_mean,mis_edges_std,valid_paths_mean,valid_paths_std,attacked_count_mean,attacked_count_std,jammed_count_mean,jammed_count_std,affected_sensor_count_mean,affected_sensor_count_std,affected_decider_count_mean,affected_decider_count_std,affected_influencer_count_mean,affected_influencer_count_std
recon,侦察阶段（固定 $\Phi=1$）,hard_role_decider,硬杀伤-角色导向(D→拓扑),1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,50.0,0.0,30.0,0.0,20.0,0.0
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.0,5,1.0,0.0,1.0,4.965068306494546e-17,1.0,0.0,1.0,9.930136612989092e-17,100.0,0.0,507.8,18.946239732464065,141.8,6.046486583132389,681.6,22.473095024940378,1006.6,5.083306010855534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.1,5,0.8230286975421809,0.004766440900115679,0.8680007075154161,0.012181604434456731,0.8423256539099636,0.15285692738765794,0.8444516863225202,0.052422900910053805,90.0,0.0,378.0,12.214745187681975,108.6,8.522910301065007,491.8,16.436544649043483,838.2,155.37490144807816,10.0,0.0,0.0,0.0,7.4,1.2,1.8,0.7483314773547883,0.8,0.7483314773547883
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.2,5,0.6776805170811444,0.007838865550263589,0.7401160432388483,0.012895627416517428,0.5161342627914454,0.15120899134819127,0.6446436077038127,0.05382485053913477,80.0,0.0,288.0,12.521980673998822,79.2,10.4,376.0,35.1965907439911,510.0,154.26600403199663,20.0,0.0,0.0,0.0,11.6,0.7999999999999999,5.4,1.624807680927192,3.0,1.0954451150103321
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.3,5,0.5545022073856286,0.015234223407604235,0.6048823371472876,0.021417959596045585,0.3359791205982453,0.11112684977123448,0.4984545550437205,0.04228355341378528,70.0,0.0,220.4,12.815615474880634,63.4,6.086049621881176,277.8,33.52252973747655,328.0,112.59307261106254,30.0,0.0,0.0,0.0,17.6,2.0591260281974,8.4,2.65329983228432,4.0,1.0954451150103321
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.4,5,0.43792821492354095,0.01694745092451055,0.4893984804005503,0.02096447032036653,0.17378907857683237,0.013576483792028141,0.3670385913003078,0.009594775877117347,60.0,0.0,157.6,8.138795979750322,41.0,4.47213595499958,193.8,19.197916553626335,166.2,14.372195378577345,40.0,0.0,0.0,0.0,21.8,1.9390719429665315,12.6,2.33238075793812,5.6,1.4966629547095764
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.5,5,0.3161983686081017,0.014476070638422373,0.3673867375564958,0.020800245176108425,0.07203272674206238,0.021344480261919208,0.25187261096888663,0.014978386630641913,50.0,0.0,106.0,8.78635305459552,27.6,3.7202150475476548,125.4,19.54072670091878,66.8,20.556264252047356,50.0,0.0,0.0,0.0,25.8,2.4819347291981715,17.0,1.4142135623730951,7.2,2.3151673805580453
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.6,5,0.23450360464645784,0.016165221772071345,0.26955225163530405,0.028023083708667032,0.04184839299396509,0.0064529273991718525,0.18196808309190898,0.015048127206824047,40.0,0.0,71.8,6.3999999999999995,20.4,4.079215610874227,83.8,9.303762679690406,38.4,5.817215828899594,60.0,0.0,0.0,0.0,31.8,2.1354156504062622,18.8,0.9797958971132712,9.4,1.4966629547095764
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.7,5,0.15322438040161498,0.019426186555434568,0.18009743778379403,0.020237754009822414,0.011616637917340267,0.0056659000554554525,0.1149794853675831,0.004495892002428751,30.0,0.0,40.8,6.49307323229917,11.2,2.1354156504062622,52.2,7.858753081755401,10.6,5.388877434122992,70.0,0.0,0.0,0.0,35.6,0.8,21.6,1.3564659966250536,12.8,1.7204650534085253
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.8,5,0.07714051997393692,0.013272265789827292,0.10779916433018126,0.010684770202412815,0.002890861246143835,0.003237984473675076,0.06261018185008733,0.00602586503656864,20.0,0.0,18.0,2.8284271247461903,7.2,2.2271057451320084,26.0,6.723094525588644,2.6,3.0724582991474434,80.0,0.0,0.0,0.0,41.2,1.16619037896906,23.4,1.0198039027185568,15.4,0.7999999999999999
