scenario_id,scenario_label,mode_label,targeting_label,strategy_id,strategy_label,layer_id,layer_label,final_mean,final_std,static_baseline_mean,absolute_gain_vs_static,relative_gain_vs_static_pct,rank_within_scenario_layer,is_best_strategy
physical_random,Physical Destruction-Random Attack,Physical Destruction,Random Attack,no_reconfiguration,Static Baseline,Q_comm,Communication-Layer Performance,0.6101715581877626,0.031608601109388096,0.6101715581877626,0.0,0.0,5,0
physical_random,Physical Destruction-Random Attack,Physical Destruction,Random Attack,utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,Q_mis,Mission-Layer Performance,0.7944444444444444,0.11055415967851333,0.6780392156862746,0.11640522875816983,17.167919799498733,1,1
physical_random,Physical Destruction-Random Attack,Physical Destruction,Random Attack,utility_role_driven,Utility-Guided and Role-Driven Reconfiguration,Q_mis,Mission-Layer Performance,0.7911111111111111,0.11208462411483104,0.6780392156862746,0.11307189542483653,16.67630614999035,2,0
physical_random,Physical Destruction-Random Attack,Physical Destruction,Random Attack,degree_driven,Maximum-Degree Reconfiguration,Q_mis,Mission-Layer Performance,0.7251851851851852,0.15828990090895503,0.6780392156862746,0.04714596949891059,6.95328063749115,3,0
physical_random,Physical Destruction-Random Attack,Physical Destruction,Random Attack,distance_driven,Nearest-Neighbor Reconfiguration,Q_mis,Mission-Layer Performance,0.7042483660130718,0.10254358325484611,0.6780392156862746,0.02620915032679727,3.8654328128012163,4,0
physical_random,Physical Destruction-Random Attack,Physical Destruction,Random Attack,no_reconfiguration,Static Baseline,Q_mis,Mission-Layer Performance,0.6780392156862746,0.09363310275063198,0.6780392156862746,0.0,0.0,5,0
physical_random,Physical Destruction-Random Attack,Physical Destruction,Random Attack,degree_driven,Maximum-Degree Reconfiguration,Q_phy,Physical-Layer Performance,0.9942389718103375,0.01152205637932524,0.6633029008836738,0.33093607092666366,49.89214889393365,1,1
physical_random,Physical Destruction-Random Attack,Physical Destruction,Random Attack,utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,Q_phy,Physical-Layer Performance,0.7813548643128503,0.026812979135925424,0.6633029008836738,0.11805196342917645,17.79759492562203,2,0
physical_random,Physical Destruction-Random Attack,Physical Destruction,Random Attack,utility_role_driven,Utility-Guided and Role-Driven Reconfiguration,Q_phy,Physical-Layer Performance,0.7439959456254803,0.041130233134935544,0.6633029008836738,0.0806930447418065,12.165338736541718,3,0
physical_random,Physical Destruction-Random Attack,Physical Destruction,Random Attack,no_reconfiguration,Static Baseline,Q_phy,Physical-Layer Performance,0.6633029008836738,0.011833375475738206,0.6633029008836738,0.0,0.0,4,0
physical_random,Physical Destruction-Random Attack,Physical Destruction,Random Attack,distance_driven,Nearest-Neighbor Reconfiguration,Q_phy,Physical-Layer Performance,0.6624802939078089,0.01622188876172761,0.6633029008836738,-0.0008226069758648924,-0.12401679153957995,5,0
physical_role_decider,Physical Destruction-Role-Oriented Targeted Attack (D),Physical Destruction,Role-Oriented Targeted Attack,utility_role_driven,Utility-Guided and Role-Driven Reconfiguration,Q_comm,Communication-Layer Performance,0.5938783310988651,0.022416563066967297,0.38465354672542035,0.20922478437344477,54.39304697814135,1,1
